correction_id,direction,start_i,end_i,start_time,end_time,duration_bars,max_depth_pct,min_abs_distance_to_ema27_pct,min_abs_distance_to_ema200_pct,changed_ema27_slope,changed_ema200_slope,bars_to_update_extreme,updated_extreme
447,DOWN_TREND_PULLBACK,2234,2234,2024-07-07 08:00:00+00:00,2024-07-07 08:00:00+00:00,1,0.21917808219178708,1.365990678994681,9.34269766135767,False,False,1.0,True
448,DOWN_TREND_PULLBACK,2239,2240,2024-07-08 04:00:00+00:00,2024-07-08 08:00:00+00:00,2,9.566734515847642,3.1200332149147987,5.959957512714552,True,False,,False
449,DOWN_TREND_PULLBACK,2242,2242,2024-07-08 16:00:00+00:00,2024-07-08 16:00:00+00:00,1,1.7184035476718356,0.4904919454888788,8.239076096268052,True,False,,False
450,UP_TREND_PULLBACK,2273,2274,2024-07-13 20:00:00+00:00,2024-07-14 00:00:00+00:00,2,3.7727374803503215,5.359816120153554,7.177839532546814,False,False,12.0,True
451,UP_TREND_PULLBACK,2276,2276,2024-07-14 08:00:00+00:00,2024-07-14 08:00:00+00:00,1,0.18574413745066704,4.866367372240851,7.365849927669601,False,False,2.0,True
452,UP_TREND_PULLBACK,2279,2279,2024-07-14 20:00:00+00:00,2024-07-14 20:00:00+00:00,1,0.3692591737826092,4.1999252962391775,7.566629576662824,False,False,1.0,True
453,UP_TREND_PULLBACK,2282,2282,2024-07-15 08:00:00+00:00,2024-07-15 08:00:00+00:00,1,1.4611872146118758,3.1637906470677732,7.277663196543081,False,False,1.0,True
454,UP_TREND_PULLBACK,2287,2287,2024-07-16 04:00:00+00:00,2024-07-16 04:00:00+00:00,1,4.605845881310891,1.379679915146994,6.598171667272121,False,False,8.0,True
455,UP_TREND_PULLBACK,2290,2291,2024-07-16 16:00:00+00:00,2024-07-16 20:00:00+00:00,2,2.01297248937598,2.1914647648630248,8.033386349556096,False,False,2.0,True
456,UP_TREND_PULLBACK,2294,2294,2024-07-17 08:00:00+00:00,2024-07-17 08:00:00+00:00,1,0.7803790412486071,3.0149549295559157,9.419724330719674,False,False,1.0,True
457,UP_TREND_PULLBACK,2296,2297,2024-07-17 16:00:00+00:00,2024-07-17 20:00:00+00:00,2,2.3740201567749155,0.477372955608439,6.911721718627145,False,False,,False
458,UP_TREND_PULLBACK,2300,2301,2024-07-18 08:00:00+00:00,2024-07-18 12:00:00+00:00,2,3.643358225842951,1.0877844981033984,4.1393830025921705,True,False,,False
459,UP_TREND_PULLBACK,2309,2310,2024-07-19 20:00:00+00:00,2024-07-20 00:00:00+00:00,2,0.4313280363223639,1.3771958095669745,6.806408418958439,False,False,1.0,True
460,UP_TREND_PULLBACK,2312,2312,2024-07-20 08:00:00+00:00,2024-07-20 08:00:00+00:00,1,1.5713960373491271,0.19362869293543278,5.121263271638413,True,False,9.0,True
461,UP_TREND_PULLBACK,2316,2317,2024-07-21 00:00:00+00:00,2024-07-21 04:00:00+00:00,2,1.6235993597072937,0.5883748369538956,4.3444102208637565,True,False,4.0,True
462,UP_TREND_PULLBACK,2322,2323,2024-07-22 00:00:00+00:00,2024-07-22 04:00:00+00:00,2,2.864175430745141,0.010717335446973621,4.957575876389499,False,False,,False
463,UP_TREND_PULLBACK,2325,2325,2024-07-22 12:00:00+00:00,2024-07-22 12:00:00+00:00,1,1.7824497257769591,0.964293771772565,3.8180827787043645,True,False,,False
464,DOWN_TREND_PULLBACK,2345,2347,2024-07-25 20:00:00+00:00,2024-07-26 04:00:00+00:00,3,6.5857438016528995,0.2775876671888153,0.1035852692321757,True,False,,False
465,UP_TREND_PULLBACK,2357,2358,2024-07-27 20:00:00+00:00,2024-07-28 00:00:00+00:00,2,1.9858156028368708,0.07892577599784897,0.24989753923952046,True,False,,False
466,DOWN_TREND_PULLBACK,2364,2364,2024-07-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,1,3.7564448809231474,2.0994816632252022,2.2093928466731723,True,True,5.0,True
467,UP_TREND_PULLBACK,2366,2367,2024-07-29 08:00:00+00:00,2024-07-29 12:00:00+00:00,2,3.12278211497517,0.7974289636832931,0.9820108357244691,True,True,,False
468,DOWN_TREND_PULLBACK,2370,2370,2024-07-30 00:00:00+00:00,2024-07-30 00:00:00+00:00,1,0.3225006201934924,1.971961062190164,2.155728480921694,False,False,1.0,True
469,DOWN_TREND_PULLBACK,2372,2372,2024-07-30 08:00:00+00:00,2024-07-30 08:00:00+00:00,1,0.1983143282102189,1.7343034838705447,2.1595504112867157,False,False,1.0,True
470,DOWN_TREND_PULLBACK,2375,2376,2024-07-30 20:00:00+00:00,2024-07-31 00:00:00+00:00,2,1.574999999999993,0.6834261881209246,1.5519086846730281,False,False,4.0,True
471,DOWN_TREND_PULLBACK,2378,2378,2024-07-31 08:00:00+00:00,2024-07-31 08:00:00+00:00,1,0.42341220423411685,1.217854316758368,2.254508800151033,False,False,2.0,True
472,DOWN_TREND_PULLBACK,2384,2384,2024-08-01 08:00:00+00:00,2024-08-01 08:00:00+00:00,1,1.635089540617708,2.597013577508504,4.7845310167209,False,False,1.0,True
473,DOWN_TREND_PULLBACK,2387,2387,2024-08-01 20:00:00+00:00,2024-08-01 20:00:00+00:00,1,3.808516265538224,1.458524985556031,4.371474987107496,False,False,4.0,True
474,DOWN_TREND_PULLBACK,2390,2390,2024-08-02 08:00:00+00:00,2024-08-02 08:00:00+00:00,1,0.10416666666666966,2.822686933613,6.170108319423301,False,False,1.0,True
475,DOWN_TREND_PULLBACK,2394,2395,2024-08-03 00:00:00+00:00,2024-08-03 04:00:00+00:00,2,1.6501650165016517,4.417609932256901,9.320121097043673,False,False,2.0,True
476,DOWN_TREND_PULLBACK,2399,2399,2024-08-03 20:00:00+00:00,2024-08-03 20:00:00+00:00,1,3.63843092666287,4.08834275940467,10.147149963431751,False,False,4.0,True
